PRECINCT	DEM	REP	TOTAL
tcrk	483	1203	1711
gilea	530	1038	1586
surba	330	1062	1417
belhv	509	597	1117
wash2	634	338	980
pante	253	531	791
auror	457	381	853
wash1	655	376	1057
psjw3	709	264	977
wash4	692	813	1525
pinet	81	564	652
hb	73	510	591
ncrk	245	693	950
rvrd	550	927	1498
oldf	440	568	1024
blck	277	360	650
wdpd	266	813	1093
beadm	222	1003	1244
washp	343	553	906
edwar	264	374	646
choco	842	1642	2519
