PRECINCT	DEM	REP	TOTAL
p80	317	409	737
p25	400	370	783
p75	565	234	805
p65	135	285	427
p70	180	158	341
p60	559	457	1028
p501	1199	826	2049
p502	712	488	1217
p10	178	314	498
p202	498	1173	1691
p15	557	1351	1931
p201	260	787	1062
p55	227	217	447
p30	738	159	900
p40	367	666	1051
p45	92	213	307
p35	277	205	488
