ID,U.S. House District 1,1,96932,197167
ID,U.S. House District 2,2,110381,170274
IL,U.S. House District 1,1,181020,50227
IL,U.S. House District 2,2,186313,44158
IL,U.S. House District 3,3,158161,56944
IL,U.S. House District 4,4,104414,11237
IL,U.S. House District 5,5,177410,50398
IL,U.S. House District 6,6,156819,139939
IL,U.S. House District 7,7,149955,20335
IL,U.S. House District 8,8,125809,65814
IL,U.S. House District 9,9,77292,14184
IL,U.S. House District 10,10,152411,80618
IL,U.S. House District 11,11,140918,80775
IL,U.S. House District 12,12,116985,134009
IL,U.S. House District 13,13,133308,136038
IL,U.S. House District 14,14,142261,131819
IL,U.S. House District 15,15,72234,177682
IL,U.S. House District 16,16,100789,149205
IL,U.S. House District 17,17,139461,86218
IL,U.S. House District 18,18,93508,193589
IN,U.S. House District 1,1,159388,85493
IN,U.S. House District 2,2,103216,125230
IN,U.S. House District 3,3,86420,158355
IN,U.S. House District 4,4,85142,153546
IN,U.S. House District 5,5,137096,180015
IN,U.S. House District 6,6,79417,154227
IN,U.S. House District 7,7,140623,76112
IN,U.S. House District 8,8,86816,157321
IN,U.S. House District 9,9,100324,146699
KS,U.S. House District 1,1,69076,149708
KS,U.S. House District 2,2,120421,124895
KS,U.S. House District 3,3,164253,136104
KS,U.S. House District 4,4,93384,138856
KY,U.S. House District 1,1,78849,172166
KY,U.S. House District 2,2,79994,171700
KY,U.S. House District 3,3,172999,101929
KY,U.S. House District 4,4,90533,162943
KY,U.S. House District 5,5,45965,172359
KY,U.S. House District 6,6,144730,154468
LA,U.S. House District 1,1,71521,192555
LA,U.S. House District 2,2,164124.0511,52069.69262
LA,U.S. House District 3,3,74713,168263
LA,U.S. House District 4,4,72934,139326
LA,U.S. House District 5,5,67118,149018
LA,U.S. House District 6,6,76716,186553
MA,U.S. House District 1,1,223347.4473,23733.60757
MA,U.S. House District 2,2,190129,92974
MA,U.S. House District 3,3,171363,92753
MA,U.S. House District 4,4,55195.16929,30069.65985
MA,U.S. House District 5,5,232752,74138
MA,U.S. House District 6,6,216282,104379
MA,U.S. House District 7,7,62871.65594,10571.22146
MA,U.S. House District 8,8,36423.99414,25293.78937
MA,U.S. House District 9,9,190213,130424
MD,U.S. House District 1,1,109617,176595
MD,U.S. House District 2,2,157948,74544
MD,U.S. House District 3,3,186552,78352
MD,U.S. House District 4,4,194129,50292
MD,U.S. House District 5,5,200425,78117
MD,U.S. House District 6,6,142656,97330
MD,U.S. House District 7,7,188252,53632
MD,U.S. House District 8,8,190973,90193
ME,U.S. House District 1,1,198853,109714
ME,U.S. House District 2,2,129556,131466
MI,U.S. House District 1,1,145246,187251
MI,U.S. House District 2,2,131254,168970
MI,U.S. House District 3,3,134185,169107
MI,U.S. House District 4,4,106540,178510
MI,U.S. House District 5,5,164502,99265
MI,U.S. House District 6,6,134082,147436
MI,U.S. House District 7,7,136330,158730
MI,U.S. House District 8,8,172880,159782
MI,U.S. House District 9,9,181734,112123
MI,U.S. House District 10,10,106061,182808
MI,U.S. House District 11,11,181912,158463
MI,U.S. House District 12,12,200588,85115
MI,U.S. House District 13,13,173632.7382,42920.9281
MI,U.S. House District 14,14,214334,45899
MN,U.S. House District 1,1,144890,146202
MN,U.S. House District 2,2,177971,159373
MN,U.S. House District 3,3,202402,160839
MN,U.S. House District 4,4,216740,97723
MN,U.S. House District 5,5,267698,74440
MN,U.S. House District 6,6,122333,192945
MN,U.S. House District 7,7,146669,134670
MN,U.S. House District 8,8,141972,159388
MO,U.S. House District 1,1,216479,45255
MO,U.S. House District 2,2,174486,190008
MO,U.S. House District 3,3,106478,211000
MO,U.S. House District 4,4,93861,185245
MO,U.S. House District 5,5,173592,100695
MO,U.S. House District 6,6,97515,199580
MO,U.S. House District 7,7,88642,195872
MO,U.S. House District 8,8,65043,190826
MS,U.S. House District 1,1,74836,155192
MS,U.S. House District 2,2,146541.322,87728.15729
MS,U.S. House District 3,3,90213,155857
MS,U.S. House District 4,4,56743,134605
MT,U.S. House At-Large,1,226251,251291
NC,U.S. House District 1,1,188074,81486
NC,U.S. House District 2,2,148959,167382
NC,U.S. House District 3,3,90809.84573,146670.1704
NC,U.S. House District 4,4,242002,80546
NC,U.S. House District 5,5,118558,158444
NC,U.S. House District 6,6,122323,159651
NC,U.S. House District 7,7,119606,155705
NC,U.S. House District 8,8,112971,140347
NC,U.S. House District 9,9,136478,138338
NC,U.S. House District 10,10,112386,164060
NC,U.S. House District 11,11,115824,177230
NC,U.S. House District 12,12,202228,74639
NC,U.S. House District 13,13,128764,145962
ND,U.S. House At-Large,1,114377,193568
NE,U.S. House District 1,1,91426,140248
NE,U.S. House District 2,2,114154,121466
NE,U.S. House District 3,3,49473,162968
NH,U.S. House District 1,1,155710,130955
NH,U.S. House District 2,2,155239,117957
NJ,U.S. House District 1,1,163948,85193
NJ,U.S. House District 2,2,126457,111021
NJ,U.S. House District 3,3,150510,147036
NJ,U.S. House District 4,4,124097,160051
NJ,U.S. House District 5,5,148021,116505
NJ,U.S. House District 6,6,135770,78570
NJ,U.S. House District 7,7,158892,144802
NJ,U.S. House District 8,8,113539,27669
NJ,U.S. House District 9,9,125110,52091
NJ,U.S. House District 10,10,166886,19632
NJ,U.S. House District 11,11,162264,123156
NJ,U.S. House District 12,12,168253,77270
NM,U.S. House District 1,1,147336,90507
NM,U.S. House District 2,2,101489,97767
NM,U.S. House District 3,3,155201,76427
NV,U.S. House District 1,1,100643,46963
NV,U.S. House District 2,2,120091,167427
NV,U.S. House District 3,3,148436,122527
NV,U.S. House District 4,4,121834,102484
NY,U.S. House District 1,1,115795,130919
NY,U.S. House District 2,2,106996,122103
NY,U.S. House District 3,3,145060,103278
NY,U.S. House District 4,4,149078,95187
NY,U.S. House District 5,5,71177.84954,11541.23426
NY,U.S. House District 6,6,108277.3553,8343.508929
NY,U.S. House District 7,7,173609.6073,11037.66899
NY,U.S. House District 8,8,112617.5328,15714.61206
NY,U.S. House District 9,9,167199,19336
NY,U.S. House District 10,10,146749,33931
NY,U.S. House District 11,11,95458,84665
NY,U.S. House District 12,12,194974,27838
NY,U.S. House District 13,13,167667,9525
NY,U.S. House District 14,14,100044,17762
NY,U.S. House District 15,15,112798,4647
NY,U.S. House District 16,16,180280.7939,8642.911492
NY,U.S. House District 17,17,162575.2965,59763.95463
NY,U.S. House District 18,18,130420,106381
NY,U.S. House District 19,19,132001,124428
NY,U.S. House District 20,20,164325,84178
NY,U.S. House District 21,21,90526,122863
NY,U.S. House District 22,22,120588,118702
NY,U.S. House District 23,23,100495,122881
NY,U.S. House District 24,24,114102,129276
NY,U.S. House District 25,25,149993,105925
NY,U.S. House District 26,26,159420,58701
NY,U.S. House District 27,27,133978,136538
OH,U.S. House District 1,1,135467,151107
OH,U.S. House District 2,2,115777,163450
OH,U.S. House District 3,3,174421,63470
OH,U.S. House District 4,4,87061,164640
OH,U.S. House District 5,5,97352,173894
OH,U.S. House District 6,6,75196,169668
OH,U.S. House District 7,7,105105,150317
OH,U.S. House District 8,8,84738,170561
OH,U.S. House District 9,9,152682,73183
OH,U.S. House District 10,10,114699,153640
OH,U.S. House District 11,11,197147,43443
OH,U.S. House District 12,12,156863,171757
OH,U.S. House District 13,13,149271,96225
OH,U.S. House District 14,14,134059,166483
OH,U.S. House District 15,15,112546,166632
OH,U.S. House District 16,16,126736,166933
OK,U.S. House District 1,1,103042,150129
OK,U.S. House District 2,2,65021,140451
OK,U.S. House District 3,3,61152,172913
OK,U.S. House District 4,4,78088,149227
OK,U.S. House District 5,5,121149,117811
OR,U.S. House District 1,1,210797,107589
OR,U.S. House District 2,2,141036,203565
OR,U.S. House District 3,3,272958,74493
OR,U.S. House District 4,4,204108,149688
OR,U.S. House District 5,5,176989,134942
PA,U.S. House District 1,1,160098,168841
PA,U.S. House District 2,2,155955,41540
PA,U.S. House District 3,3,277885,19687
