Florida,25,www.nytimes.com/elections/2016/results/florida-house-district-25-diaz-balart-valdes
North Carolina,1,www.nytimes.com/elections/2016/results/north-carolina-house-district-1-butterfield-dew
Colorado,5,www.nytimes.com/elections/2016/results/colorado-house-district-5-lamborn-plowright
Michigan,1,www.nytimes.com/elections/2016/results/michigan-house-district-1-johnson-bergman
California,1,www.nytimes.com/elections/2016/results/california-house-district-1-la-malfa-reed
South Carolina,2,www.nytimes.com/elections/2016/results/south-carolina-house-district-2-wilson-bjorn
Texas,13,www.nytimes.com/elections/2016/results/texas-house-district-13
Texas,6,www.nytimes.com/elections/2016/results/texas-house-district-6-barton-woolridge
Florida,9,www.nytimes.com/elections/2016/results/florida-house-district-9-soto-liebnitzky
New York,9,www.nytimes.com/elections/2016/results/new-york-house-district-9
California,31,www.nytimes.com/elections/2016/results/california-house-district-31-aguilar-chabot
New York,26,www.nytimes.com/elections/2016/results/new-york-house-district-26-higgins-schratz
Texas,12,www.nytimes.com/elections/2016/results/texas-house-district-12-granger-bradshaw
Kentucky,4,www.nytimes.com/elections/2016/results/kentucky-house-district-4-massie-sidle
North Carolina,7,www.nytimes.com/elections/2016/results/north-carolina-house-district-7-rouzer-casteen
Texas,5,www.nytimes.com/elections/2016/results/texas-house-district-5
Wisconsin,6,www.nytimes.com/elections/2016/results/wisconsin-house-district-6-grothman-lloyd
California,3,www.nytimes.com/elections/2016/results/california-house-district-3-garamendi-cleek
Washington,6,www.nytimes.com/elections/2016/results/washington-house-district-6-kilmer-bloom
Texas,18,www.nytimes.com/elections/2016/results/texas-house-district-18-jackson-lee-bartley
Utah,4,www.nytimes.com/elections/2016/results/utah-house-district-4-love-owens
New York,2,www.nytimes.com/elections/2016/results/new-york-house-district-2-king-gregory
Illinois,4,www.nytimes.com/elections/2016/results/illinois-house-district-4
Texas,14,www.nytimes.com/elections/2016/results/texas-house-district-14-weber-cole
Virginia,2,www.nytimes.com/elections/2016/results/virginia-house-district-2-brown-taylor
Ohio,13,www.nytimes.com/elections/2016/results/ohio-house-district-13-ryan-morckel
Pennsylvania,17,www.nytimes.com/elections/2016/results/pennsylvania-house-district-17-cartwright-connolly
Maine,1,www.nytimes.com/elections/2016/results/maine-house-district-1-pingree-holbrook
Texas,27,www.nytimes.com/elections/2016/results/texas-house-district-27-farenthold-barrera
Illinois,12,www.nytimes.com/elections/2016/results/illinois-house-district-12-bost-baricevic
Michigan,8,www.nytimes.com/elections/2016/results/michigan-house-district-8-bishop-shkreli
New York,14,www.nytimes.com/elections/2016/results/new-york-house-district-14-crowley-spotorno
Tennessee,8,www.nytimes.com/elections/2016/results/tennessee-house-district-8-hobson-kustoff
California,22,www.nytimes.com/elections/2016/results/california-house-district-22-nunes-campos
South Carolina,6,www.nytimes.com/elections/2016/results/south-carolina-house-district-6-clyburn-sterling
Michigan,11,www.nytimes.com/elections/2016/results/michigan-house-district-11-trott-kumar
New Hampshire,1,www.nytimes.com/elections/2016/results/new-hampshire-house-district-1-guinta-shea-porter
Washington,10,www.nytimes.com/elections/2016/results/washington-house-district-10-heck-postma
Wisconsin,8,www.nytimes.com/elections/2016/results/wisconsin-house-district-8-nelson-gallagher
Florida,19,www.nytimes.com/elections/2016/results/florida-house-district-19-neeld-rooney
Illinois,7,www.nytimes.com/elections/2016/results/illinois-house-district-7-davis-leef
California,13,www.nytimes.com/elections/2016/results/california-house-district-13-lee-caro
Washington,2,www.nytimes.com/elections/2016/results/washington-house-district-2-larsen-hennemann
Oklahoma,4,www.nytimes.com/elections/2016/results/oklahoma-house-district-4-cole-owen
Georgia,14,www.nytimes.com/elections/2016/results/georgia-house-district-14
California,29,www.nytimes.com/elections/2016/results/california-house-district-29
North Carolina,9,www.nytimes.com/elections/2016/results/north-carolina-house-district-9-pittenger-cano
Louisiana,4,www.nytimes.com/elections/2016/results/louisiana-house-district-4
Florida,20,www.nytimes.com/elections/2016/results/florida-house-district-20-hastings-stein
Michigan,6,www.nytimes.com/elections/2016/results/michigan-house-district-6-upton-clements
Minnesota,5,www.nytimes.com/elections/2016/results/minnesota-house-district-5-ellison-drake
California,51,www.nytimes.com/elections/2016/results/california-house-district-51-vargas-hidalgo
