stateFP,state,maptype,countyFP,county,district,dem_CountySplitValue,rep_CountySplitValue
stateFP,state,current,51087,"Henrico County, Virginia",4,0.2648802938155312,0.21202280150827157
stateFP,state,current,21179,"Nelson County, Kentucky",2,1.0,1.0
stateFP,state,current,36083,"Rensselaer County, New York",20,0.6009657583217036,0.5051417590254943
stateFP,state,current,8027,"Custer County, Colorado",3,1.0,1.0
stateFP,state,current,31039,"Cuming County, Nebraska",1,1.0,1.0
stateFP,state,current,51640,"Galax city, Virginia",9,1.0,1.0
stateFP,state,current,36123,"Yates County, New York",23,1.0,1.0
stateFP,state,current,6069,"San Benito County, California",20,1.0,1.0
stateFP,state,current,48441,"Taylor County, Texas",19,1.0,1.0
stateFP,state,current,26093,"Livingston County, Michigan",8,1.0,1.0
stateFP,state,current,25017,"Middlesex County, Massachusetts",4,0.08214703388894878,0.07072987905478068
stateFP,state,current,27089,"Marshall County, Minnesota",7,1.0,1.0
stateFP,state,current,18121,"Parke County, Indiana",8,1.0,1.0
stateFP,state,current,40021,"Cherokee County, Oklahoma",2,1.0,1.0
stateFP,state,current,19073,"Greene County, Iowa",4,1.0,1.0
stateFP,state,current,13027,"Brooks County, Georgia",8,1.0,1.0
stateFP,state,current,42133,"York County, Pennsylvania",4,1.0,1.0
stateFP,state,current,21221,"Trigg County, Kentucky",1,1.0,1.0
stateFP,state,current,47091,"Johnson County, Tennessee",1,1.0,1.0
stateFP,state,current,29047,"Clay County, Missouri",5,0.3398163425619924,0.3207825571491223
stateFP,state,current,13117,"Forsyth County, Georgia",7,0.7865767203425469,0.6611499219307714
stateFP,state,current,13031,"Bulloch County, Georgia",12,1.0,1.0
stateFP,state,current,12119,"Sumter County, Florida",11,1.0,1.0
stateFP,state,current,13289,"Twiggs County, Georgia",8,1.0,1.0
stateFP,state,current,37005,"Alleghany County, North Carolina",5,1.0,1.0
stateFP,state,current,47051,"Franklin County, Tennessee",4,1.0,1.0
stateFP,state,current,6097,"Sonoma County, California",2,0.3620463737752651,0.43729687686278523
stateFP,state,current,39027,"Clinton County, Ohio",15,1.0,1.0
stateFP,state,current,5051,"Garland County, Arkansas",4,1.0,1.0
stateFP,state,current,26039,"Crawford County, Michigan",1,1.0,1.0
stateFP,state,current,28111,"Perry County, Mississippi",4,1.0,1.0
stateFP,state,current,6037,"Los Angeles County, California",32,0.07601053264669584,0.06508703441478424
stateFP,state,current,22127,"Winn Parish, Louisiana",5,1.0,1.0
stateFP,state,current,40067,"Jefferson County, Oklahoma",4,1.0,1.0
stateFP,state,current,1093,"Marion County, Alabama",4,1.0,1.0
stateFP,state,current,37119,"Mecklenburg County, North Carolina",8,1.0331308935073166e-05,8.340288658638474e-06
stateFP,state,current,47039,"Decatur County, Tennessee",7,1.0,1.0
stateFP,state,current,22097,"St. Landry Parish, Louisiana",5,0.49707479413384176,0.452971821759941
stateFP,state,current,13009,"Baldwin County, Georgia",10,1.0,1.0
stateFP,state,current,48491,"Williamson County, Texas",31,1.0,1.0
stateFP,state,current,20107,"Linn County, Kansas",2,1.0,1.0
stateFP,state,current,26005,"Allegan County, Michigan",2,0.03660370577020274,0.024184659265247637
stateFP,state,current,12011,"Broward County, Florida",22,0.29966139194665786,0.38338209212214974
stateFP,state,current,33009,"Grafton County, New Hampshire",2,0.9781408233356078,0.9716340658460598
stateFP,state,current,29103,"Knox County, Missouri",6,1.0,1.0
stateFP,state,current,21175,"Morgan County, Kentucky",5,1.0,1.0
stateFP,state,current,13237,"Putnam County, Georgia",10,1.0,1.0
stateFP,state,current,41023,"Grant County, Oregon",2,1.0,1.0
stateFP,state,current,16087,"Washington County, Idaho",1,1.0,1.0
stateFP,state,current,28089,"Madison County, Mississippi",2,0.33200886207641805,0.2642529415071849
stateFP,state,current,13151,"Henry County, Georgia",3,0.27392044232210955,0.2849203723669667
stateFP,state,current,17097,"Lake County, Illinois",6,0.09290820526073146,0.10942413637254043
stateFP,state,current,37125,"Moore County, North Carolina",8,1.0,1.0
stateFP,state,current,48267,"Kimble County, Texas",11,1.0,1.0
stateFP,state,current,48089,"Colorado County, Texas",10,1.0,1.0
stateFP,state,current,29029,"Camden County, Missouri",4,0.4022621670809059,0.41406168565523493
