stateFP,state,maptype,countyFP,county,district,dem_CountySplitValue,rep_CountySplitValue
stateFP,state,current,51087,"Henrico County, Virginia",4,0.22531950656958183,0.21429626070260935
stateFP,state,current,21179,"Nelson County, Kentucky",2,1.0,1.0
stateFP,state,current,36083,"Rensselaer County, New York",20,0.6682726221734318,0.5080069815956314
stateFP,state,current,8027,"Custer County, Colorado",3,1.0,1.0
stateFP,state,current,31039,"Cuming County, Nebraska",1,1.0,1.0
stateFP,state,current,51640,"Galax city, Virginia",9,1.0,1.0
stateFP,state,current,36123,"Yates County, New York",23,1.0,1.0
stateFP,state,current,6069,"San Benito County, California",20,1.0,1.0
stateFP,state,current,48441,"Taylor County, Texas",19,1.0,1.0
stateFP,state,current,26093,"Livingston County, Michigan",8,1.0,1.0
stateFP,state,current,25017,"Middlesex County, Massachusetts",4,0.06501385415560261,0.07639335728065763
stateFP,state,current,27089,"Marshall County, Minnesota",7,1.0,1.0
stateFP,state,current,18121,"Parke County, Indiana",8,1.0,1.0
stateFP,state,current,40021,"Cherokee County, Oklahoma",2,1.0,1.0
stateFP,state,current,19073,"Greene County, Iowa",4,1.0,1.0
stateFP,state,current,13027,"Brooks County, Georgia",8,1.0,1.0
stateFP,state,current,42133,"York County, Pennsylvania",4,1.0,1.0
stateFP,state,current,21221,"Trigg County, Kentucky",1,1.0,1.0
stateFP,state,current,47091,"Johnson County, Tennessee",1,1.0,1.0
stateFP,state,current,29047,"Clay County, Missouri",5,0.3610859401241092,0.32053497041962514
stateFP,state,current,13117,"Forsyth County, Georgia",7,0.7859366663528762,0.656765755451476
stateFP,state,current,13031,"Bulloch County, Georgia",12,1.0,1.0
stateFP,state,current,12119,"Sumter County, Florida",11,1.0,1.0
stateFP,state,current,13289,"Twiggs County, Georgia",8,1.0,1.0
stateFP,state,current,37005,"Alleghany County, North Carolina",5,1.0,1.0
stateFP,state,current,47051,"Franklin County, Tennessee",4,1.0,1.0
stateFP,state,current,6097,"Sonoma County, California",2,0.32883796720856723,0.4322346326908601
stateFP,state,current,39027,"Clinton County, Ohio",15,1.0,1.0
stateFP,state,current,5051,"Garland County, Arkansas",4,1.0,1.0
stateFP,state,current,26039,"Crawford County, Michigan",1,1.0,1.0
stateFP,state,current,28111,"Perry County, Mississippi",4,1.0,1.0
stateFP,state,current,6037,"Los Angeles County, California",32,0.07364502424928183,0.06887181563896004
stateFP,state,current,22127,"Winn Parish, Louisiana",5,1.0,1.0
stateFP,state,current,40067,"Jefferson County, Oklahoma",4,1.0,1.0
stateFP,state,current,1093,"Marion County, Alabama",4,1.0,1.0
stateFP,state,current,37119,"Mecklenburg County, North Carolina",8,7.621488231448308e-06,8.392349515086778e-06
