PRECINCT	DEM	REP	TOTAL
bras	162	337	499
pcht	453	826	1279
murn	474	713	1187
marb	276	537	813
bell	206	445	651
annw	317	534	851
cson	151.0	317.0	468.0
topt	77	202	279
hang	93	385	478
unka	85.0	222.0	307.0
answ	360	619	979
gcrk	70.0	184.0	254.0
rger	293.0	572.0	865.0
hiwa	332	776	1108
murs	461	791	1252
hoth	219	517	736
