PRECINCT	DEM	REP	TOTAL
p05	117	138	255
p22	681	624	1305
p03	142	185	327
p24	412	648	1060
p21	312	387	699
p20	450	145	595
p01a	554.0	556.0	1110.0
p04	130	101	231
p09	549	238	787
p08	77	144	221
p25a	364.0	626.0	989.0
p06	281	239	520
p10	157	318	475
p11	201	333	534
p12	66	89	155
p13	132	226	358
p14	1272	958	2230
p15	928	463	1391
p17	606	193	799
p18	192	137	329
p19	943	636	1579
p16a	509.0	598.0	1106.0
p02a	425.0	159.0	584.0
p07	1392	602	1994
p23	820	620	1440
p26a	989.0	793.0	1782.0
