PRECINCT	DEM	REP	TOTAL
polkvl	278	1223	1572
latt	365	1393	1823
shangi	515	1256	1839
s s	1790	1927	3862
km n	1113	1876	3124
kingst	429	212	664
lawndl	568	595	1202
bethwr	254	937	1244
s c	2308	2078	4538
mrb-yo	206	759	1014
mulls	226	1043	1335
s 4a	1585	1527	3217
grover	509	1510	2082
oakgrv	457	1699	2233
waco	712	1359	2138
br	835	2265	3224
casar	94	813	947
falstn	177	867	1087
rippy	754	1566	2403
km s	1033	1711	2835
s 5	817	875	1738
