PRECINCT	DEM	REP	TOTAL
gr	413	1243	1685
cc	596	1336	1959
cb	250	559	823
ef	535	979	1541
ar	358	604	979
at	696	1477	2193
gm	280	577	873
ev	564	1193	1776
es	485	845	1357
hv-1	800	844	1668
hv-3	825	738	1586
hv-2	963	963	1960
pv	559	936	1514
nm	652	1297	1974
rr	225	382	617
nb	652	1590	2279
lj	563	925	1510
ne	490	652	1168
rg	485	1058	1558
lp	564	770	1347
ed	463	999	1482
nw	502	755	1273
pr	572	1030	1633
fr	839	1487	2348
bc	246	332	585
hs	570	1087	1670
bk	276	332	617
hc	732	1406	2164
fl	1077	1553	2663
mg	272	444	735
sw	641	1077	1763
sm	772	1675	2474
sb	457	1345	1827
se	268	504	791
