PRECINCT	DEM	REP	TOTAL
03-00	802	1868	2717
11-02	511	1342	1881
10-00	779	2320	3125
05-00	439	1392	1853
04-10	875	1451	2358
01-10	760	1140	1920
11-01	1306	1484	2832
12-09	471	875	1363
06-00	251	1121	1388
12-08	406	398	813
12-03	548	861	1424
12-02	836	342	1188
12-01	251	173	435
12-07	912	64	977
12-06	496	528	1038
12-05	528	947	1493
12-04	829	811	1655
02-06	1153	975	2150
02-07	661	1432	2114
02-05	990	1743	2751
02-02	1057	1747	2824
02-03	1399	2250	3696
02-01	788	1133	1958
02-08	1647	2007	3691
02-09	1817	1834	3681
08-00	622	1891	2539
12-10	293	527	835
07-00	144	543	692
12-11	447	572	1035
09-00	313	1273	1603
04-08	386	660	1055
04-09	617	1228	1858
12-12	520	790	1328
04-04	536	447	991
04-05	456	513	978
04-06	655	534	1199
04-07	314	820	1143
04-01	977	914	1902
04-02	944	634	1588
04-03	919	911	1855
01-09	178	540	725
01-08	932	1270	2228
01-02	447	1120	1582
01-07	539	1273	1832
01-06	883	1277	2172
01-04	1184	1536	2751
