AL,2018,current,4,125,1294.9638008368727,5748.783938918189
AL,2018,current,4,49,3699.0,17469.0
AL,2018,current,5,77,10288.0,20503.0
AL,2018,current,5,83,10343.0,23141.0
AL,2018,current,5,103,10816.0,28583.0
AL,2018,current,5,89,66424.0,74838.0
AL,2018,current,5,71,3486.6409315363458,11915.884547794476
AL,2018,current,6,21,2198.0,11498.0
AL,2018,current,6,73,24830.593107173783,60325.21065413465
AL,2018,current,6,7,1559.0,5299.0
AL,2018,current,6,125,0.18106908156624088,0.660617567585158
AL,2018,current,6,9,1789.4983578784752,15898.23140718667
AL,2018,current,6,37,1439.0,2814.0
AL,2018,current,6,117,23289.0,60328.0
AL,2018,current,7,63,0.0,0.0
AL,2018,current,7,107,0.0,0.0
AL,2018,current,7,23,0.0,0.0
AL,2018,current,7,131,0.0,0.0
AL,2018,current,7,105,0.0,0.0
AL,2018,current,7,125,4160.855130081562,11789.555443514222
AL,2018,current,7,91,0.0,0.0
AL,2018,current,7,65,0.0,0.0
AL,2018,current,7,101,9285.827989469317,5034.804451324491
AL,2018,current,7,25,985.4859130653801,2110.382969333896
AL,2018,current,7,85,0.0,0.0
AL,2018,current,7,47,0.0,0.0
AL,2018,current,7,119,0.0,0.0
AL,2018,current,7,73,30491.406892826242,36158.78934586533
AR,2016,current,1,137,0.0,4216.0
AR,2016,current,1,117,0.0,2665.0
AR,2016,current,1,35,0.0,7754.0
AR,2016,current,1,49,0.0,3496.0
AR,2016,current,1,107,0.0,3030.0
AR,2016,current,1,69,0.0,326.0111676983458
AR,2016,current,1,5,0.0,14947.0
AR,2016,current,1,31,0.0,26499.0
AR,2016,current,1,77,0.0,1480.0
AR,2016,current,1,123,0.0,3530.0
AR,2016,current,1,21,0.0,3769.0
AR,2016,current,1,67,0.0,3867.0
AR,2016,current,1,93,0.0,8258.0
AR,2016,current,1,37,0.0,5005.0
AR,2016,current,1,95,0.0,1695.0
AR,2016,current,1,1,0.0,4320.0
AR,2016,current,1,63,0.0,10135.0
AR,2016,current,1,135,0.0,5716.0
AR,2016,current,1,17,0.0,2119.0
AR,2016,current,1,79,0.0,2573.0
AR,2016,current,1,23,0.0,9590.0
AR,2016,current,1,41,0.0,2197.0
AR,2016,current,1,85,0.0,21096.0
AR,2016,current,1,129,0.0,2757.0524818839767
AR,2016,current,1,111,0.0,6130.0
AR,2016,current,1,75,0.0,4488.0
AR,2016,current,1,121,0.0,4985.0
AR,2016,current,1,55,0.0,11601.0
AR,2016,current,1,147,0.0,1637.0
AR,2016,current,1,65,0.0,4234.0
AR,2016,current,2,141,1535.0,5243.0
AR,2016,current,2,119,76522.0,74291.0
AR,2016,current,2,145,4706.0,21404.0
AR,2016,current,2,125,11778.0,36960.0
AR,2016,current,2,105,953.0,3014.0
AR,2016,current,2,45,13314.0,30575.0
AR,2016,current,2,29,2539.0,4985.0
AR,2016,current,3,7,0.0,73289.0
AR,2016,current,3,129,0.0,98.94751811602278
AR,2016,current,3,115,0.0,18123.0
AR,2016,current,3,89,0.0,5601.0
AR,2016,current,3,131,0.0,29209.11672041356
AR,2016,current,3,15,0.0,7477.0
AR,2016,current,3,143,0.0,54884.0
AR,2016,current,3,9,0.0,13369.0
AR,2016,current,3,33,0.0,12199.364630166472
AR,2016,current,3,101,0.0,1280.6128493752763
AR,2016,current,4,69,0.0,10960.988832301657
AR,2016,current,4,11,0.0,2441.0
AR,2016,current,4,13,0.0,1583.0
AR,2016,current,4,19,0.0,5207.0
AR,2016,current,4,39,0.0,1668.0
AR,2016,current,4,91,0.0,11344.0
AR,2016,current,4,81,0.0,3623.0
AR,2016,current,4,101,0.0,1582.3871506247237
AR,2016,current,4,25,0.0,2597.0
AR,2016,current,4,127,0.0,2775.0
AR,2016,current,4,51,0.0,29596.0
AR,2016,current,4,43,0.0,4226.0
AR,2016,current,4,97,0.0,2693.0
AR,2016,current,4,61,0.0,3312.0
AR,2016,current,4,113,0.0,6440.0
AR,2016,current,4,87,0.0,4853.0
AR,2016,current,4,133,0.0,3463.0
AR,2016,current,4,139,0.0,10305.0
AR,2016,current,4,57,0.0,4720.0
AR,2016,current,4,83,0.0,5997.0
AR,2016,current,4,103,0.0,5955.0
AR,2016,current,4,149,0.0,4899.0
AR,2016,current,4,27,0.0,5634.0
AR,2016,current,4,73,0.0,1875.0
AR,2016,current,4,47,0.0,4846.0
AR,2016,current,4,3,0.0,5568.0
AR,2016,current,4,99,0.0,2036.0
