PRECINCT	DEM	REP	TOTAL
p05	97	165	269
p22	552	785	1361
p03	121	213	346
p24	299	812	1140
p21	264	467	739
p20	415	177	605
p01a	526.0	622.0	1180.0
p04	123	109	234
p09	494	307	812
p08	74	163	241
p25a	276.0	721.0	1037.0
p06	224	332	564
p10	126	368	503
p11	145	414	564
p12	55	111	168
p13	117	250	381
p14	1214	1044	2288
p15	827	630	1473
p17	571	250	824
p18	174	172	347
p19	844	792	1661
p16a	445.0	729.0	1206.0
p02a	381.0	213.0	598.0
p07	1272	783	2083
p23	745	721	1492
p26a	906.0	894.0	1835.0
