PRECINCT	DEM	REP	TOTAL
02	215	484	713
03	691	1074	1810
13	800	726	1621
01	133	199	344
06	924	880	1982
07	1004	1242	2369
04	854	1513	2444
05	685	315	1062
19	736	1257	2059
18	327	910	1266
08	528	969	1543
09	131	224	371
20	78	174	262
16	29	64	95
12	995	856	2032
17	148	269	433
14	789	1041	1906
11	544	979	1582
15	1065	1255	2450
10	254	456	728
