PRECINCT	DEM	REP	TOTAL
bras	165	340	522
pcht	422	850	1332
murn	435	736	1242
marb	239	569	855
bell	193	442	665
annw	280	571	889
cson	135.0	323.0	481.0
topt	66	217	289
hang	84	375	489
unka	76.0	222.0	312.0
answ	328	659	1026
gcrk	54.0	196.0	258.0
rger	263.0	575.0	896.0
hiwa	313	785	1130
murs	422	830	1323
hoth	208	503	751
