state,district,district_dem_result,district_rep_result
Kentucky,3,173002,101930
Washington,1,197209,135534
Massachusetts,3,173175,93445
Florida,12,132844,194564
Connecticut,1,175087,96024
Texas,31,136362,144680
California,32,121759,55272
New York,27,139059,140146
North Carolina,4,247067,82052
Maryland,8,217679,96525
Minnesota,6,122332,192931
California,5,205860,0
Pennsylvania,5,198639,106075
Massachusetts,1,235803,0
Texas,2,119992,139188
Pennsylvania,4,211524,121467
Nevada,1,100707,46978
Arizona,3,114650,64868
Texas,1,61263,168165
Texas,15,98333,63862
Ohio,12,161251,175677
Pennsylvania,14,110051,151386
Texas,36,60908,161048
Illinois,9,213368,76983
California,7,155016,126601
Texas,26,121938,185551
Illinois,11,145407,82358
Arizona,4,84521,188842
New York,13,180035,10268
Rhode Island,2,126476,72271
California,21,57239,56377
Michigan,12,200588,85115
Virginia,6,113133,167957
Nebraska,2,121770,126715
California,19,162496,57823
North Carolina,8,114119,141402
Tennessee,4,78065,147323
Pennsylvania,9,100204,148723
Ohio,15,116112,170593
California,10,115945,105955
Texas,21,168421,177654
Illinois,18,95486,195927
Idaho,2,110381,170274
Oregon,5,197187,149887
Pennsylvania,8,135603,112563
Georgia,13,223157,69760
California,28,196662,54272
Arizona,7,113044,0
Louisiana,1,71521,192555
Kansas,2,123859,126098
Arizona,8,135569,168835
West Virginia,1,70217,127997
Florida,17,117194,193326
Tennessee,7,81661,170071
Kansas,4,98304,143459
Louisiana,3,74713,168263
California,37,210555,25823
Colorado,1,272886,85207
Arkansas,2,116135,132125
California,41,108227,58021
Massachusetts,9,193224,131739
Florida,26,119797,115678
Florida,5,180527,89799
Texas,17,98070,134841
Georgia,1,105942,144741
Texas,9,136256,0
Ohio,1,141118,154409
Indiana,3,86610,158927
Pennsylvania,11,113876,163708
Texas,33,90805,26120
California,30,191573,69420
New York,21,99791,131981
Hawaii,2,153271,44850
New York,6,111646,0
Illinois,14,156035,141164
Virginia,9,85833,160933
Nevada,2,120102,167435
Oklahoma,3,61152,172913
Colorado,4,145544,224038
Wisconsin,1,137508,177492
Indiana,1,159611,85594
Utah,2,105051,151489
Georgia,2,136699,92472
Pennsylvania,16,124109,135348
California,15,177989,65940
Kansas,1,71558,153082
Nebraska,3,49654,163650
Texas,24,125231,133317
Illinois,13,134458,136516
Utah,1,63308,156692
New York,15,124469,5205
California,23,74661,131113
Illinois,3,163053,57885
Indiana,7,141139,76457
Washington,7,329800,64881
Washington,5,144925,175422
Texas,4,57400,188667
Alabama,6,85644,192542
Georgia,4,227717,61092
Oregon,4,208710,152414
Florida,18,156454,185905
Ohio,10,118785,157554
Georgia,10,112339,190396
California,12,275292,41780
Missouri,6,97660,199796
Minnesota,1,144885,146200
Pennsylvania,3,287610,20387
Indiana,5,137142,180035
West Virginia,2,88011,110504
California,44,143322,0
Kentucky,2,79964,171700
Oregon,3,279019,76187
Ohio,8,89451,177892
New Jersey,5,169546,128255
Louisiana,2,190182,0
California,50,125448,134362
Kentucky,1,78849,172167
Georgia,7,140011,140430
Florida,11,128053,239395
Ohio,9,157219,74670
Washington,8,164089,148968
Washington,3,145407,161819
California,35,103420,45604
Illinois,8,130054,67073
Tennessee,1,47138,172835
New Jersey,7,166985,150785
Virginia,1,148464,183250
California,47,143354,77682
Colorado,7,204260,119734
Minnesota,4,216865,97747
Wyoming,At Large,59903,127963
Missouri,2,177611,192477
Pennsylvania,7,140813,114437
Indiana,9,118090,153271
New York,7,146687,0
Florida,6,145758,187891
New Mexico,2,101489,97767
Texas,10,144034,157166
Pennsylvania,13,74733,178533
Texas,35,138278,50553
New York,23,109932,130323
Nevada,3,148501,122566
Texas,7,127959,115642
Illinois,16,104569,151254
New York,10,173095,37619
Washington,4,83785,141551
Michigan,10,106061,182808
Alabama,7,0,0
Illinois,10,156540,82124
Connecticut,4,168726,106921
South Carolina,5,103129,141757
Virginia,4,187642,107706
Maryland,4,209642,53327
Texas,23,102359,103285
