fips,county_name,dem_vote_count,rep_vote_count
1091,"Marengo County, Alabama",4621.5372840084065,4290.197090862923
12003,"Baker County, Florida",1966.0,8448.0
46101,"Moody County, South Dakota",1090.0,1622.0
30043,"Jefferson County, Montana",2621.0,4015.9999999999995
41001,"Baker County, Oregon",1894.0,6004.0
41003,"Benton County, Oregon",30220.000000000004,12054.0
41005,"Clackamas County, Oregon",108649.0,80872.0
41007,"Clatsop County, Oregon",11101.0,6526.0
41009,"Columbia County, Oregon",12130.0,10642.0
41011,"Coos County, Oregon",13116.0,14804.0
41013,"Crook County, Oregon",2698.0,8335.0
41015,"Curry County, Oregon",5070.0,6172.000000000001
41017,"Deschutes County, Oregon",46924.0,45939.0
41019,"Douglas County, Oregon",18824.0,28379.0
41021,"Gilliam County, Oregon",255.99999999999997,707.0
1093,"Marion County, Alabama",1273.0,8570.0
41023,"Grant County, Oregon",770.0,2845.0
41025,"Harney County, Oregon",672.0,2681.0
41027,"Hood River County, Oregon",6734.999999999999,3577.9999999999995
41029,"Jackson County, Oregon",46142.0,51835.0
41031,"Jefferson County, Oregon",3006.0000000000005,5394.0
41033,"Josephine County, Oregon",13990.0,24290.0
41035,"Klamath County, Oregon",7126.0,19665.0
41037,"Lake County, Oregon",571.0,2768.0
41039,"Lane County, Oregon",116560.99999999999,55534.99999999999
42011,"Berks County, Pennsylvania",72555.0,71181.0
41041,"Lincoln County, Oregon",14223.0,8857.0
12005,"Bay County, Florida",15834.000000000002,47366.0
41045,"Malheur County, Oregon",2121.0,6359.0
41047,"Marion County, Oregon",63916.0,57074.0
41049,"Morrow County, Oregon",934.0000000000001,2611.0
41051,"Multnomah County, Oregon",288509.0,57182.0
41053,"Polk County, Oregon",18367.0,17241.0
41055,"Sherman County, Oregon",200.0,755.0
41057,"Tillamook County, Oregon",6802.0,5718.0
41059,"Umatilla County, Oregon",7596.0,15332.0
41061,"Union County, Oregon",3280.9999999999995,7926.0
41063,"Wallowa County, Oregon",1212.0,2692.0
41065,"Wasco County, Oregon",4846.0,5858.0
41067,"Washington County, Oregon",158464.0,75189.0
41069,"Wheeler County, Oregon",177.0,592.0
41071,"Yamhill County, Oregon",21793.0,19906.0
42043,"Dauphin County, Pennsylvania",58605.0,49767.0
36011,"Cayuga County, New York",10917.999999999998,16679.0
19135,"Monroe County, Iowa",1294.0,1717.0
19099,"Jasper County, Iowa",7519.0,7622.0
46105,"Perkins County, South Dakota",224.0,1064.0
9007,"Middlesex County, Connecticut",47044.0,29973.0
13099,"Early County, Georgia",2135.0,1957.0
6007,"Butte County, California",48127.0,41063.0
1097,"Mobile County, Alabama",60596.0,72498.0
27123,"Ramsey County, Minnesota",170401.0,61803.0
19147,"Palo Alto County, Iowa",1701.0,1925.0
28103,"Noxubee County, Mississippi",3025.9999999999995,888.9999999999999
12009,"Brevard County, Florida",112989.0,167649.0
46107,"Potter County, South Dakota",248.0,923.0
9003,"Hartford County, Connecticut",216538.0,118758.0
6057,"Nevada County, California",31666.0,22567.0
9009,"New Haven County, Connecticut",197520.0,120797.0
33001,"Belknap County, New Hampshire",12256.0,14125.0
33003,"Carroll County, New Hampshire",12146.000000000002,11464.0
36015,"Chemung County, New York",12637.0,17235.0
33007,"Coos County, New Hampshire",6008.0,4971.0
33009,"Grafton County, New Hampshire",25627.0,13499.0
1099,"Monroe County, Alabama",3863.0,4978.0
33011,"Hillsborough County, New Hampshire",87489.0,71360.0
33013,"Merrimack County, New Hampshire",36702.0,26626.0
33015,"Rockingham County, New Hampshire",71211.0,66089.0
33017,"Strafford County, New Hampshire",30819.000000000004,21469.0
30079,"Prairie County, Montana",149.0,484.0
13095,"Dougherty County, Georgia",22647.0,8431.0
42017,"Bucks County, Pennsylvania",141577.0,152461.0
12011,"Broward County, Florida",297508.0,174865.0
19159,"Ringgold County, Iowa",716.0,1493.0
46109,"Roberts County, South Dakota",1664.0,1915.0
9011,"New London County, Connecticut",69343.0,32868.0
27015,"Brown County, Minnesota",4574.0,7136.000000000001
1101,"Montgomery County, Alabama",35370.0,26257.0
54067,"Nicholas County, West Virginia",3195.0,4579.0
28107,"Panola County, Mississippi",6514.0,6057.950461710091
30091,"Sheridan County, Montana",661.0,1087.0
30093,"Silver Bow County, Montana",10822.0,5032.0
27171,"Wright County, Minnesota",20113.0,38769.0
19171,"Tama County, Iowa",3257.0,3780.0
13105,"Elbert County, Georgia",2207.0,5055.0
30099,"Teton County, Montana",1117.0,1959.0
33019,"Sullivan County, New Hampshire",9200.0,7553.0
42021,"Cambria County, Pennsylvania",18579.0,30855.0
12015,"Charlotte County, Florida",32617.0,53387.0
53031,"Jefferson County, Washington",15076.0,5591.0
30019,"Daniels County, Montana",239.99999999999997,684.0
20199,"Wallace County, Kansas",48.0,594.0
19183,"Washington County, Iowa",4272.0,4595.0
1105,"Perry County, Alabama",2701.7262241128096,1220.5865423483588
25001,"Barnstable County, Massachusetts",72289.0,45535.0
25003,"Berkshire County, Massachusetts",45739.0,10960.313575011116
25005,"Bristol County, Massachusetts",40790.0,22444.0
25007,"Dukes County, Massachusetts",7916.0,2157.0
25009,"Essex County, Massachusetts",203590.0,94431.00000000001
25011,"Franklin County, Massachusetts",24788.0,5726.0
25013,"Hampden County, Massachusetts",144088.0,68.0
25015,"Hampshire County, Massachusetts",57420.00000000001,7084.0
25017,"Middlesex County, Massachusetts",379163.99999999994,151057.0
25019,"Nantucket County, Massachusetts",3777.9999999999995,1516.0
25021,"Norfolk County, Massachusetts",821.0,651.0
25023,"Plymouth County, Massachusetts",68451.0,60087.0
21019,"Boyd County, Kentucky",5788.0,8913.0
46115,"Spink County, South Dakota",958.0,1736.0
25027,"Worcester County, Massachusetts",184720.0,101225.0
53029,"Island County, Washington",26647.000000000004,18049.4590420526
11001,"District of Columbia, District of Columbia",172744.54976085498,12351.431359956401
36023,"Cortland County, New York",9246.0,7377.999999999999
19195,"Worth County, Iowa",1530.0,1866.0
41043,"Linn County, Oregon",22516.0,30214.0
9005,"Litchfield County, Connecticut",41280.0,42334.0
8053,"Hinsdale County, Colorado",211.00000000000003,321.0
13097,"Douglas County, Georgia",33005.0,21509.0
42027,"Centre County, Pennsylvania",32635.0,27941.0
26035,"Clare County, Michigan",3965.0,7687.0
20205,"Wilson County, Kansas",763.0,2031.0
13113,"Fayette County, Georgia",24094.0,32978.0
36027,"Dutchess County, New York",61342.0,48710.0
54069,"Ohio County, West Virginia",4848.0,10992.0
17001,"Adams County, Illinois",5972.0,18421.0
17003,"Alexander County, Illinois",1099.0,1084.0
17005,"Bond County, Illinois",2255.0,4298.0
17007,"Boone County, Illinois",7465.0,10530.0
17009,"Brown County, Illinois",350.0,1541.0
17011,"Bureau County, Illinois",5234.0,8408.0
17013,"Calhoun County, Illinois",811.0,1447.0000000000002
17015,"Carroll County, Illinois",3169.0,2798.0
17017,"Cass County, Illinois",1314.0,3195.0
17019,"Champaign County, Illinois",47195.0,31514.999999999996
17021,"Christian County, Illinois",3467.0,9452.0
17023,"Clark County, Illinois",1821.0,4267.0
17025,"Clay County, Illinois",1036.0,3803.0
17027,"Clinton County, Illinois",3678.0,10403.0
17029,"Coles County, Illinois",6520.0,10464.0
17031,"Cook County, Illinois",1381905.0,344937.0
17033,"Crawford County, Illinois",2094.0,4770.0
17035,"Cumberland County, Illinois",1058.0,3252.0
27027,"Clay County, Minnesota",16317.0,7934.000000000001
17037,"DeKalb County, Illinois",19739.0,16521.0
17039,"De Witt County, Illinois",1816.0,4377.0
17041,"Douglas County, Illinois",1627.0,4738.0
17043,"DuPage County, Illinois",211635.0,151919.0
17045,"Edgar County, Illinois",1734.0,4270.0
17047,"Edwards County, Illinois",419.0,1999.0
17049,"Effingham County, Illinois",3162.0,11143.0
17051,"Fayette County, Illinois",1896.9999999999998,5950.0
54033,"Harrison County, West Virginia",8544.0,13849.0
17053,"Ford County, Illinois",1051.0,3916.0
19003,"Adams County, Iowa",518.0,1152.0
17055,"Franklin County, Illinois",5131.0,9958.000000000002
17057,"Fulton County, Illinois",7870.0,4719.0
