LA,U.S. House District 6,6,76716,186553
OH,U.S. House District 8,8,89451,177892
MI,U.S. House District 1,1,145246,187251
MO,U.S. House District 2,2,177611,192477
PA,U.S. House District 10,10,141668,149365
TN,U.S. House District 6,6,70370,172810
