maptype,stateID,state,district,district_dem_result,district_rep_result,district_winner
current,1,AL,1,88234.72135175567,151125.66182011075,R
current,1,AL,2,80173.74582028989,138049.79880166147,R
current,1,AL,3,82106.56002154687,144979.09067693155,R
current,1,AL,4,42407.264606693236,174954.8266878366,R
current,1,AL,5,101352.82859456976,158982.87392549883,R
current,1,AL,6,57006.606609617214,164481.7254629683,R
current,1,AL,7,83866.48305524874,70593.04522692518,D
current,2,AK,At Large,0,149779,R
current,4,AZ,1,134654.95535496844,117902.68380265507,D
current,4,AZ,2,140721.9581090828,125739.52728074956,D
current,4,AZ,3,126445.00265761062,71442.80691135851,D
current,4,AZ,4,82375.29826330922,175056.54938808928,R
current,4,AZ,5,117428.2885567751,137659.93056323755,R
current,4,AZ,6,128843.60122276272,138167.15598142595,R
current,4,AZ,7,113105.4993005287,59315.361090102815,D
current,4,AZ,8,115059.52911594739,146158.78186361105,R
current,4,AZ,9,126854.86741901551,91442.20311877051,D
current,5,AR,1,57666.33321189628,138796.11824712995,R
current,5,AR,2,115749.0,131760.0,R
current,5,AR,3,74245.09879908245,146942.9881452904,R
current,5,AR,4,63848.56798902127,137084.89360757964,R
current,6,CA,1,131681.528389119,159333.93317342072,R
current,6,CA,2,184340.09265166966,50231.184078718405,D
current,6,CA,3,128253.36184868656,77440.73087349269,D
current,6,CA,4,145680.2918949426,177785.26662001412,R
current,6,CA,5,176035.86712976286,35559.109327157,D
current,6,CA,6,165156.54842424692,46547.5758733497,D
current,6,CA,7,168233.74753045544,82327.4292119198,D
current,6,CA,8,58482.45405795802,137060.25168579258,R
current,6,CA,9,113445.36344783526,75339.6028572967,D
current,6,CA,10,96517.79414342211,98297.39536671377,R
current,6,CA,11,176321.6843751395,70008.13121023499,D
current,6,CA,12,251009.88252457674,44897.50007766959,D
current,6,CA,13,195122.9872704951,34606.033736638754,D
current,6,CA,14,249655.78460237104,46576.33118373948,D
current,6,CA,15,214641.6437097084,37024.81783956182,D
current,6,CA,16,88329.20069561483,61948.08358606141,D
current,6,CA,17,247144.36502095798,17588.22291212092,D
current,6,CA,18,151121.357073453,100995.45176761699,D
current,6,CA,19,155405.42285457547,53095.75136211895,D
current,6,CA,20,177884.35273452874,57213.516989786265,D
current,6,CA,21,60224.271945715744,74366.8198301908,R
