state,district,winning party,margin,votes,opponent
Virginia,07,Republican,17,381909,E. Wayne Powell
Illinois,11,Democratic,17.1,254276,Judy Biggert
Arkansas,01,Republican,17.1,246843,Scott Ellington
Colorado,02,Democratic,17.1,421580,Kevin Lundberg
Pennsylvania,11,Republican,17.1,285198,Gene Stilp
New Jersey,07,Republican,17.1,307315,Upendra Chivukula
Washington,10,Democratic,17.1,278417,Richard Muri
Florida,17,Republican,17.3,282266,William Bronson
Ohio,02,Republican,17.3,331373,William R. Smith
Florida,07,Republican,17.4,316010,Jason Kendall
New Jersey,02,Republican,17.4,289069,Cassandra Shober
Texas,27,Republican,17.5,212651,Rose Meza Harrison
Illinois,14,Republican,17.6,301954,Dennis Anderson
California,40,Democratic,17.8,125553,David Sanchez
California,41,Democratic,17.9,175652,John Tavaglione
Washington,06,Democratic,18,316386,Bill Driscoll
Ohio,05,Republican,18.1,351878,Angela Zimmann
New Mexico,02,Republican,18.2,225515,Evelyn Madrid Erhard
Kansas,02,Republican,18.3,293718,Tobias Schlingensiepen
New Mexico,01,Democratic,18.3,275856,Janice Arnold-Jones
Illinois,06,Republican,18.4,326129,Leslie Coolidge
New Jersey,11,Republican,18.8,309859,John Arvanites
Pennsylvania,07,Republican,18.8,353451,George Badey
Texas,06,Republican,18.8,249936,Kenneth Sanders
Texas,32,Republican,18.8,251636,Katherine Savers McGovern
Oklahoma,02,Republican,19,250612,Rob Wallace
Washington,08,Republican,19.3,302090,Karen Porterfield
Virginia,10,Republican,19.7,366444,Kristin Cabral
Connecticut,04,Democratic,19.9,293432,Steve Obsitnik
New York,22,Republican,19.9,280189,Dan Lamb
Oregon,04,Democratic,20.1,360088,Art Robinson
Ohio,01,Republican,20.1,349716,Jeff Sinnard
California,44,Democratic,20.4,165898,Laura Richardson
California,30,Democratic,20.6,247851,Howard Berman
Pennsylvania,17,Democratic,20.6,267601,Laureen Cummings
Rhode Island,02,Democratic,20.6,222660,Michael G. Riley
Indiana,05,Republican,20.8,333359,Scott Reske
Washington,03,Republican,20.8,293884,Jon T. Haugen
Maryland,06,Democratic,20.9,309549,Roscoe Bartlett
Texas,25,Republican,21,263932,Elaine M. Henderson
Arizona,03,Democratic,21.2,168698,Gabriela Saucedo Mercer
California,42,Republican,21.2,214947,Michael Williamson
Michigan,08,Republican,21.3,345054,Lance Enderle
Florida,08,Republican,21.4,348909,Shannon Roberts
Oklahoma,05,Republican,21.4,261677,Tom Guild
Nevada,02,Republican,21.4,281449,Samuel Koepnick
Colorado,04,Republican,21.7,342076,Brandon Shaffer
Louisiana,03,Republican,21.8,96584,Jeff Landry
North Carolina,06,Republican,21.8,364583,Tony Foriest
Ohio,04,Republican,21.9,312998,Jim Slone
California,48,Republican,22,290502,Ron Varasteh
Ohio,10,Republican,22.1,349671,Sharen Swartz Neuhardt
California,04,Republican,22.2,323688,Jack Uppal
Washington,02,Democratic,22.3,302291,Dan Matthews
Virginia,09,Republican,22.7,301658,Anthony Flaccavento
Arkansas,04,Republican,22.8,258953,Gene Jeffress
California,53,Democratic,22.9,268307,Nick Popaditch
Missouri,02,Republican,23,394448,Glenn Koenen
Ohio,15,Republican,23.1,333462,Pat Lang
Florida,27,Republican,23.2,230171,Manny Yevancey
Pennsylvania,09,Republican,23.3,274305,Karen Ramsburg
Mississippi,01,Republican,23.5,309177,Brad Morris
Illinois,16,Republican,23.6,294090,Wanda Rohl
Missouri,05,Democratic,23.6,330936,Jacob Turk
California,22,Republican,23.8,213941,Otto Lee
Washington,05,Republican,23.8,308578,Rich Cowan
Indiana,06,Republican,24,275253,Brad Bookout
Texas,15,Democratic,24,146661,Dale A. Brueggemann
Georgia,07,Republican,24.3,252066,Steve Reilly
Texas,10,Republican,24.3,264019,Tawana W. Cadien
Wisconsin,06,Republican,24.3,359745,Joe Kallas
Texas,07,Republican,24.4,234837,James Cargas
Massachusetts,04,Democratic,24.5,373114,Sean Bielat
West Virginia,01,Republican,24.6,194863,Sue Thorn
Missouri,04,Republican,24.8,318723,Teresa Hensley
Massachusetts,09,Democratic,24.9,385799,Christopher Sheldon
Florida,09,Democratic,25,263747,Todd Long
Texas,24,Republican,25,243489,Tim Rusk
Texas,21,Republican,25.2,308865,Candace E. Duval
Pennsylvania,04,Republican,25.3,303980,Harry Perkinson
Minnesota,07,Democratic,25.5,327576,Lee Byberg
Virginia,11,Democratic,25.5,332243,Chris Perkins
Indiana,07,Democratic,25.7,257950,Carlos May
Texas,34,Democratic,25.7,144778,Jessica Puente Bradshaw
Pennsylvania,05,Republican,25.8,282465,Charles Dumas
Georgia,01,Republican,26,249580,Lesli Messinger
Tennessee,03,Republican,26,256829,Mary Headrick
New York,04,Democratic,26.1,299484,Francis Becker Jr.
Florida,19,Republican,26.2,306216,Jim Roach
North Carolina,03,Republican,26.2,309885,Erik Anderson
New Mexico,03,Democratic,26.2,264719,Jeff Byrd
South Carolina,01,Republican,26.3,290013,Bobbie Rose
Texas,31,Republican,26.3,237187,Stephen M. Wyman
Oregon,01,Democratic,26.6,331980,Delinda Morgan
New York,17,Democratic,26.7,297379,Joe Carvin
Michigan,02,Republican,26.9,318267,"Willie German, Jr."
Ohio,12,Republican,26.9,368474,James Reese
Kentucky,04,Republican,27.2,299444,Bill Adkins
Alabama,02,Republican,27.3,283953,Therese Ford
Georgia,02,Democratic,27.6,255161,John House
Florida,23,Democratic,27.6,275430,Karen Harrington
California,46,Democratic,27.7,149815,Jerry Hayden
Indiana,04,Republican,27.8,272268,Tara Nelson
Michigan,09,Democratic,27.9,337316,Don Volaric
Pennsylvania,18,Republican,27.9,338873,Larry Maggi
California,27,Democratic,28,241008,Jack Orswell
Arizona,06,Republican,28,293177,Matt Jette
New Jersey,06,Democratic,28.1,239638,Anna Little
Alabama,03,Republican,28.2,273930,John Andrew Harris
Maine,01,Democratic,28.3,380715,Jonathan Courtney
Arizona,08,Republican,28.3,272791,Gene Scharer
Wisconsin,03,Democratic,28.3,339764,Ray Boland
New Jersey,04,Republican,28.5,306247,Brian Froelich
Utah,02,Republican,28.7,248545,Jay Seegmiller
Georgia,06,Republican,29,294034,Jeff Kazanow
Florida,11,Republican,29,338663,David Werder
Kentucky,03,Democratic,29.4,322656,Brooks Wicker
Michigan,04,Republican,29.5,312949,Debra Freidell Wirth
Alabama,05,Republican,30,291293,Charlie L. Holley
Louisiana,02,Democratic,30.1,287354,Gary Landrieu
Idaho,02,Republican,30.3,318494,Nicole LeFavour
Maryland,08,Democratic,30.4,343256,Ken Timmerman
Texas,20,Democratic,30.4,186177,David Rosa
Florida,12,Republican,30.5,330167,Jonathan Michael Snow
Kansas,04,Republican,30.6,258922,Robert Leo Tillman
Missouri,03,Republican,30.6,338385,Eric C. Mayer
Massachusetts,03,Democratic,30.7,335111,Jon Golnik
Virginia,06,Republican,30.7,323893,Andy Schmookler
Minnesota,04,Democratic,30.8,347991,Tony Hernandez
Pennsylvania,10,Republican,31.2,273790,Philip Scollo
South Carolina,04,Republican,31.2,266884,Deb Morrow
Texas,05,Republican,31.2,208230,Linda S. Mrosko
California,32,Democratic,31.4,190111,David Miller
Oklahoma,01,Republican,31.4,285312,John Olson
Delaware,01,Democratic,31.5,368154,Thomas Kovach
Texas,35,Democratic,31.9,165179,Susan Narvaiz
Nevada,01,Democratic,32,179278,Chris Edwards
Texas,22,Republican,32.1,250911,Kesha Rogers
Texas,02,Republican,32.1,246328,Jim Dougherty
Idaho,01,Republican,32.2,316724,Jimmy Farris
Florida,03,Republican,32.3,315669,"Jacques Rene Gaillot, Jr."
New York,06,Democratic,32.4,186932,Daniel Halloran
Washington,04,Republican,32.4,233689,Mary Baechler
Missouri,06,Republican,32.5,333688,Kyle Yarber
Texas,16,Democratic,32.5,155005,Barbara Carrasco
Tennessee,05,Democratic,32.5,263083,Brad Staats
Kentucky,02,Republican,32.6,282267,David Lynn Williams
Illinois,09,Democratic,32.7,293793,Timothy Wolfe
Missouri,07,Republican,33,318731,Jim Evans
South Carolina,03,Republican,33.3,254763,Brian Doyle
Michigan,05,Democratic,33.5,330146,Jim Slezak
Virginia,08,Democratic,34,351187,Patrick Murray
Indiana,03,Republican,34.1,280235,Kevin Boyd
Arizona,05,Republican,34.4,273059,Spencer Morgan
Maryland,02,Democratic,34.5,295940,Nancy Jacobs
New York,20,Democratic,34.5,317678,Robert Dieterich
Indiana,01,Democratic,34.6,279034,Joel Phelps
California,38,Democratic,35.1,215087,Benjamin Campos
Alaska,01,Republican,35.3,289804,Sharon M. Cissna
Mississippi,04,Republican,35.3,285432,Matthew Moore
California,50,Republican,35.4,258293,David Secor
Wisconsin,05,Republican,35.7,369664,Dave Heaster
Maryland,01,Republican,35.9,337760,Wendy Rosen
Wisconsin,02,Democratic,36,390898,Chad Lee
Mississippi,02,Democratic,36.2,320244,Bill Marcy
Nebraska,01,Republican,36.6,256095,Korey L. Reiman
Kansas,03,Republican,36.9,293762,Joel Balam
Illinois,03,Democratic,37,246391,Richard Grabowski
Georgia,11,Republican,37.1,287321,Patrick Thompson
Illinois,05,Democratic,37.1,270377,Dan Schmitt
Illinois,15,Republican,37.2,299937,Angela Michael
Maryland,03,Democratic,37.3,319859,Eric Delano Knowles
Texas,28,Democratic,38.1,165645,William R. Hayward
Pennsylvania,13,Democratic,38.2,303819,Joe Rooney
New Jersey,01,Democratic,38.3,308519,Greg Horton
Arizona,04,Republican,38.5,243760,Johnnie Robinson
Connecticut,02,Democratic,38.9,299960,Paul M Formica
Michigan,12,Democratic,39,319223,Cynthia Kallgren
Michigan,10,Republican,39.1,328612,Chuck Stadler
Kentucky,01,Republican,39.3,287155,Charles Kendall Hatchett
California,11,Democratic,39.5,287879,Virginia Fuller
Oregon,02,Republican,39.5,332255,Joyce Segers
Texas,26,Republican,39.6,258723,David Sanchez
West Virginia,02,Republican,39.6,226165,Howard Swint
New Jersey,12,Democratic,39.7,274398,Eric Beck
Tennessee,08,Republican,39.9,279422,Timothy Dixon
Illinois,02,Democratic,40.1,297424,Brian Woodworth
Oklahoma,04,Republican,40.3,260331,Donna Marie Bebo
Florida,14,Democratic,40.5,280601,Evelio Otero Jr.
California,18,Democratic,41,301934,Dave Chapman
Colorado,01,Democratic,41.5,348210,Danny Stroud
Maryland,05,Democratic,41.7,343820,Anthony O'Donnell
Ohio,03,Democratic,41.9,295647,Chris Long
Connecticut,01,Democratic,42,297061,John Henry Decker
California,02,Democratic,42.5,317526,Daniel W. Roberts
Alabama,06,Republican,42.5,308102,Penny H. Bailey
California,43,Democratic,42.5,200894,Bob Flores
Florida,01,Republican,42.5,342594,James Bryan
California,51,Democratic,43,159398,Michael Crimmins
Washington,09,Democratic,43.2,268139,Jim Postma
Georgia,13,Democratic,43.5,281538,S. Malik
Texas,12,Republican,44.2,247712,Dave Robinson
Texas,36,Republican,44.2,233832,Max Martin
Florida,05,Democratic,44.5,269153,LeAnne Kolb
Texas,01,Republican,44.5,249658,Shirley J. McKellar
Wyoming,01,Republican,45.1,241205,Chris Henrichsen
Louisiana,01,Republican,45.4,290410,Vinny Mendoza
Ohio,13,Democratic,45.5,323612,Marisha Agana
Georgia,14,Republican,45.9,219192,Daniel Grant
New York,26,Democratic,46.2,304961,Michael Madigan
California,23,Republican,46.4,216003,Terry Phillips
California,19,Democratic,46.5,221613,Robert Murray
New York,16,Democratic,46.5,270320,Joseph McLaughlin
Texas,33,Democratic,46.7,117375,Chuck Bradley
Utah,01,Republican,46.8,245528,Donna M. McAleer
Tennessee,07,Republican,47,257306,Credo Amouzouvik
Georgia,04,Democratic,47.1,283902,J. Chris Vaughn
California,17,Democratic,47.1,216728,Evelyn Li
Missouri,08,Republican,47.4,300391,Jack Rushin
Wisconsin,04,Democratic,47.4,325788,Dan Sebring
Illinois,01,Democratic,47.6,320843,Donald Peloquin
Massachusetts,05,Democratic,47.9,364201,Tom Tierney
California,29,Democratic,48.1,150281,David Hernandez
California,20,Democratic,48.1,233562,Jeff Taylor
Alabama,04,Republican,48.1,269118,Daniel H. Boman
Illinois,18,Republican,48.3,329631,Steve Waterworth
Nebraska,03,Republican,48.3,252689,Mark Sullivan
Vermont,01,Democratic,48.7,289663,Mark Donka
Massachusetts,08,Democratic,48.9,371694,Joe Selvaggi
California,05,Democratic,48.9,272417,Randy Loftin
North Carolina,04,Democratic,48.9,348485,Tim D'Annunzio
New Jersey,09,Democratic,48.9,220133,Shmuley Boteach
Texas,04,Republican,48.9,250343,VaLinda Hathcox
Minnesota,05,Democratic,49.3,351969,Chris Fields
Connecticut,03,Democratic,49.4,291299,Wayne Winsley
Ohio,09,Democratic,50,298164,Samuel Wurzelbacher
California,06,Democratic,50.1,214073,"Joseph McCray, Sr."
Louisiana,04,Republican,50.6,249531,Randall Lord
Tennessee,09,Democratic,51.3,250984,George Flinn Jr.
Alabama,07,Democratic,51.8,306558,Don Chamberlain
Georgia,09,Republican,52.4,252153,Jody Cooley
Texas,18,Democratic,52.4,194932,Sean Seibert
North Carolina,01,Democratic,52.5,338066,Pete DiLauro
California,28,Democratic,53,246711,Phil Jennerjahn
New York,10,Democratic,53.2,236323,Michael Chan
Utah,03,Republican,53.2,259547,Soren D. Simonsen
Tennessee,02,Republican,53.8,264505,Troy Goodale
Pennsylvania,14,Democratic,53.8,327634,Hans Lessmann
Oregon,03,Democratic,54.7,355875,Ronald Green
New York,12,Democratic,54.7,268287,Christopher Wight
Oklahoma,03,Republican,55.3,268003,Timothy Ray Murray
Maryland,07,Democratic,55.7,323818,"Frank Mirabile, Jr."
Kentucky,05,Republican,55.8,250853,Kenneth Stepp
Tennessee,01,Republican,56.2,239672,Alan Woodruff
Maryland,04,Democratic,56.4,311512,Faith Loudon
Texas,08,Republican,57,251052,Neil Burns
Colorado,05,Republican,57.6,307231,Jim Pirtle
California,14,Democratic,57.8,258283,Deborah Bacigalupi
New York,14,Democratic,57.9,170995,William Gibbons Jr.
Hawaii,02,Democratic,58.3,219162,"Kawika ""David"" Crowley"
Texas,09,Democratic,58.8,183566,Steve Mueller
New Jersey,08,Democratic,59.1,167790,Maria Karczewski
North Carolina,12,Democratic,59.3,310908,Jack Brosch
Washington,07,Democratic,59.3,374580,Ron Bemis
Massachusetts,07,Democratic,59.5,285134,Karla Romero
Texas,30,Democratic,59.8,217014,"Travis Washington, Jr."
Arkansas,03,Republican,59.9,245660,Rebekah Kennedy
Texas,17,Republican,59.9,179262,Ben Easton
Mississippi,03,Republican,60,293322,John Luke Pannell
Texas,11,Republican,60.1,226023,Jim Riley
Missouri,01,Democratic,60.8,340583,Robyn Hamlin
Virginia,03,Democratic,62.8,318936,Dean Longo
Louisiana,05,Republican,63.4,260216,Ron Ceasar
Arizona,07,Democratic,63.5,127827,Joe Cobb
Illinois,04,Democratic,66,160505,Hector Concepcion
Michigan,14,Democratic,66.6,328792,John Hauler
New York,05,Democratic,66.8,224508,Allan Jennings Jr.
Florida,25,Republican,67.1,200229,VoteforEddie.Com
Tennessee,06,Republican,67.5,241241,Pat Riley
New York,09,Democratic,67.8,238957,Daniel Cavanagh
Georgia,05,Democratic,68.8,277665,Howard Stopeck
Louisiana,06,Republican,68.9,306713,"Rufus Holt Craig,Jr"
Florida,21,Democratic,68.9,284400,Cesear Henao
Michigan,13,Democratic,69.1,284270,Harry T. Sawicki
New York,13,Democratic,69.8,233172,Craig Schley
Pennsylvania,01,Democratic,69.9,277102,John Featherman
Texas,19,Republican,70,192063,Richard Peterson
California,12,Democratic,70.2,298187,John Dennis
New York,08,Democratic,70.4,236292,Alan Bellone
California,34,Democratic,71.2,140590,Stephen Smith
California,37,Democratic,72.8,239580,Morgan Osborne
California,13,Democratic,73.6,288582,Marilyn M. Singleton
Illinois,07,Democratic,73.7,286428,Rita Zak
Massachusetts,02,Democratic,74.5,342736,All Others
New York,07,Democratic,74.7,178825,James Murray
Florida,20,Democratic,75.8,244285,Randall Terry
Florida,04,Republican,76,315470,Gary Koniz
Massachusetts,01,Democratic,76.6,336555,All Others
New Jersey,10,Democratic,77,230060,Brian Kelemen
Pennsylvania,02,Democratic,79.9,356386,Robert Mansfield
New York,15,Democratic,83,178645,Frank Della Valle
Texas,13,Republican,84.8,206388,John Robert Deek
Texas,29,Democratic,84.8,95611,James Stanczak
South Carolina,06,Democratic,88.1,233615,Nammu Y Muhammad
South Carolina,02,Republican,92.5,203718,Write-In
Alabama,01,Republican,95.7,200676,N/A
Ohio,08,Republican,98.4,248316,James Condit Jr.
Georgia,08,Republican,100,197789,Unopposed
Georgia,10,Republican,100,211065,Unopposed
Georgia,03,Republican,100,232380,Unopposed
Kansas,01,Republican,100,211337,Unopposed
Ohio,11,Democratic,100,258359,Unopposed
Texas,03,Republican,100,187180,Unopposed
Florida,15,Republican,100,01,Unopposed
Florida,24,Democratic,100,01,Unopposed
