state,district,winning party,margin,votes,opponent
Alabama,01,Republican,36.4,152234,Burton LeFlore
Alabama,02,Republican,34.8,167952,Erick Wright
Alabama,03,Republican,32.4,156620,Jesse Smith
Alabama,04,Republican,97.1,134752,Write-in
Alabama,05,Republican,49.3,154974,Jerry Hill
Alabama,06,Republican,52.5,178449,Mark Lester
Alabama,07,Democratic,96.7,135899,Write-in
Alaska,01,Republican,10,279741,Forrest Dunbar
Arizona,01,Democratic,5.2,185114,Andy Tobin
Arizona,02,Republican,0.1,219351,Ron Barber
Arizona,03,Democratic,11.5,104428,Gabriela Saucedo Mercer
Arizona,04,Republican,44.2,175179,Mikel Weisser
Arizona,05,Republican,39.2,179463,James Woods
Arizona,06,Republican,29.7,199776,John Williamson
Arizona,07,Democratic,60.1,72454,Joe Cobb
Arizona,08,Republican,51.6,169776,Stephen Dolgos
Arizona,09,Democratic,12.8,162062,Wendy Rogers
Arkansas,01,Republican,30.9,196256,Jackie McPherson
Arkansas,02,Republican,8.3,237330,Patrick Hays
Arkansas,03,Republican,58.8,190935,Grant Brand
Arkansas,04,Republican,11.2,206131,James Lee Witt
California,10,Republican,12.3,125705,Michael Eggman
California,11,Democratic,34.5,174662,Tue Phan-Quang
California,12,Democratic,66.5,192264,John Dennis
California,13,Democratic,77,190431,Dakin Sundeen
California,14,Democratic,53.4,149146,Robin Chew
California,15,Democratic,39.6,142906,Hugh Bussell
California,16,Democratic,1.5,91220,Johnny Tacherra
California,17,Democratic,3.5,134408,Ro Khanna
California,18,Democratic,35.5,196386,Richard Fox
California,19,Democratic,34.4,127788,Robert Murray
California,01,Republican,22.1,216372,Heidi Hall
California,20,Democratic,50.4,141044,Ronald Paul Kabat
California,21,Republican,15.7,79377,Amanda Renteria
California,22,Republican,44.1,133342,Suzanna Aguilera-Marrero
California,23,Republican,49.7,134043,Raul Garcia
California,24,Democratic,3.9,198794,Chris Mitchum
California,25,Republican,6.7,114072,Tony Strickland
California,26,Democratic,2.7,169829,Jeff Gorell
California,27,Democratic,18.7,127580,Jack Orswell
California,28,Democratic,53,120264,Steve Stokes
California,29,Democratic,49.2,67141,William O'Callaghan Leader
California,02,Democratic,50,217524,Dale Mensing
California,30,Democratic,31.3,131883,Mark Reed
California,31,Democratic,3.5,99784,Paul Chabot
California,32,Democratic,19.3,84406,Art Alas
California,33,Democratic,18.4,183031,Elan Carr
California,34,Democratic,45.1,61621,Adrienne Nicole Edwards
California,35,Democratic,26.9,62255,Christina Gagnier
California,36,Democratic,8.4,134139,Brian Nestande
California,37,Democratic,68.6,114838,Adam King
California,38,Democratic,18.2,98480,Benjamin Campos
California,39,Republican,37.1,133225,Peter Anderson
California,03,Democratic,5.4,150260,Dan Logue
California,40,Democratic,22.4,49379,David Sanchez
California,41,Democratic,13.3,82884,Steve Adams
California,42,Republican,31.5,113390,Tim Sheridan
California,43,Democratic,41.9,98202,John Wood
California,44,Democratic,73.3,68862,Adam Shbeita
California,45,Republican,30.2,162902,Drew Leavens
California,46,Democratic,19.4,83315,Adam Nick
California,47,Democratic,12,123400,Andy Whallon
California,48,Republican,28.2,174795,Sue Savary
California,49,Republican,20.3,163142,Dave Peiser
California,04,Republican,20.1,211134,Art Moore
California,50,Republican,42.4,157299,James Kimber
California,51,Democratic,37.6,81950,Stephen Meade
