state,district,winning party,margin,votes,opponent
Alabama,01,Republican,92.8,215893,Write-in
Alabama,02,Republican,8.2,276584,Nathan Mathis
Alabama,03,Republican,34,287104,Jesse Smith
Alabama,04,Republican,97.1,239444,Write-in
Alabama,05,Republican,33.5,308326,Will Boyd
Alabama,06,Republican,49.1,329306,David Putman
Alabama,07,Democratic,96.8,233028,Write-in
Alaska,01,Republican,14.3,308198,Steve Lindbeck
Arizona,01,Democratic,7.3,280710,Paul Babeu
Arizona,02,Republican,13.9,315679,Matt Heinz
Arizona,03,Democratic,97.3,151035,Write-in
Arizona,04,Republican,42.9,284783,Mikel Weisser
Arizona,05,Republican,28.2,320124,Talia Fuentes
Arizona,06,Republican,24.3,324444,John Williamson
Arizona,07,Democratic,50.5,158811,Eve Nunez
Arizona,08,Republican,37.1,298971,Mark Salazar
Arizona,09,Democratic,21.9,277507,Dave Giles
Arkansas,01,Republican,52.6,241047,Mark West
Arkansas,02,Republican,21.5,302464,Dianne Curry
Arkansas,03,Republican,54.6,280907,Steve Isaacson
Arkansas,04,Republican,49.8,244159,Kerry Hicks
California,10,Republican,3.4,241141,Michael Eggman
California,11,Democratic,44.1,298209,Roger Petersen
California,12,Democratic,61.7,338845,Preston Picus
California,13,Democratic,81.6,322871,Sue Caro
California,14,Democratic,61.7,286447,Angel Cardenas
California,15,Democratic,47.5,269197,Danny Turner
California,16,Democratic,16.1,167956,Johnny Tacherra
California,17,Democratic,22,233192,Mike Honda
California,18,Democratic,42.3,323930,Richard Fox
California,19,Democratic,47.9,245863,G. Burt Lancaster
California,01,Republican,18.1,314036,Jim Reed
California,20,Democratic,41.5,255791,Casey Lucius
California,21,Republican,13.5,132408,Emilio Huerta
California,22,Republican,35.1,234966,Louie Campos
California,23,Republican,38.4,241584,Wendy Reed
California,24,Democratic,6.8,310814,Justin Fareed
California,25,Republican,6.3,261161,Bryan Caforio
California,26,Democratic,20.8,280307,Rafael Dagnesses
California,27,Democratic,34.8,250632,Jack Orswell
California,28,Democratic,56,270409,Lenore Solis
California,29,Democratic,49.5,171824,Richard Alarcon
California,02,Democratic,53.7,330766,Dale Mensing
California,30,Democratic,45.3,282604,Mark Reed
California,31,Democratic,12.1,215936,Paul Chabot
California,32,Democratic,23.1,186646,Roger Hernandez
California,33,Democratic,32.9,330219,Kenneth Wright
California,34,Democratic,54.4,159156,Adrienne Nicole Edwards
California,35,Democratic,44.8,171353,Tyler Fischella
California,36,Democratic,24.1,232617,Jeff Stone
California,37,Democratic,62.3,237272,Chris Blake Wiggins
California,38,Democratic,41,232114,Ryan Downing
California,39,Republican,14.5,263456,Brett Murdock
California,03,Democratic,18.7,256966,Eugene Cleek
California,40,Democratic,62.3,131297,Roman Gonzalez
California,41,Democratic,29.9,197323,Doug Shepherd
California,42,Republican,17.6,254236,Tim Sheridan
California,43,Democratic,52.2,219516,Omar Navarro
California,44,Democratic,4.4,178413,Isadore Hall
California,45,Republican,17.1,311849,Ron Varasteh
California,46,Democratic,40,164593,Bao Nguyen
California,47,Democratic,27.4,242868,Andy Whallon
California,48,Republican,16.6,306416,Suzanne Savary
California,49,Republican,0.5,310155,Douglas Applegate
California,04,Republican,25.4,350978,Bob Derlet
California,50,Republican,26.9,283583,Patrick Malloy
California,51,Democratic,45.5,199524,Juan Hidalgo Jr.
California,52,Democratic,13.1,320656,Denise Gitsham
California,53,Democratic,34,296956,James Veltmeyer
California,05,Democratic,53.7,292091,Carlos Santamaria
California,06,Democratic,50.9,235413,Robert Evans
California,07,Democratic,2.3,297301,Scott Jones
California,08,Republican,24.5,220007,Rita Ramirez
California,09,Democratic,14.7,232155,Antonio Amador
Colorado,01,Democratic,40.2,379036,Casper Stockham
Colorado,02,Democratic,19.7,457312,Nicholas Morse
Colorado,03,Republican,14.3,374037,Gail Schwartz
Colorado,04,Republican,31.9,390633,Bob Seay
Colorado,05,Republican,31.4,361993,Misty Plowright
Colorado,06,Republican,8.3,376417,Morgan Carroll
Colorado,07,Democratic,15.4,362010,George Athanasopoulos
Connecticut,01,Democratic,30.4,312925,Matthew Corey
Connecticut,02,Democratic,29.6,330257,Daria Novak
Connecticut,03,Democratic,38.1,309379,Angel Cadena
Connecticut,04,Democratic,19.8,313540,John Shaban
Connecticut,05,Democratic,16,309082,Clay Cope
Delaware,01,Democratic,14.6,420617,Hans Reigle
Florida,10,Democratic,29.7,305989,Thuy Lowe
Florida,11,Republican,33.8,394719,Dave Koller
Florida,12,Republican,37.2,369669,Robert Tager
Florida,13,Democratic,3.8,355842,David Jolly
Florida,14,Democratic,23.6,316877,Christine Quinn
Florida,15,Republican,14.9,318474,Jim Lange
Florida,16,Republican,19.5,385916,Jan Schneider
Florida,17,Republican,27.6,338675,April Freeman
Florida,18,Republican,10.5,375918,Randy Perkins
Florida,19,Republican,31.8,363166,Robert Neeld
Florida,01,Republican,38.2,369186,Steven Specht
Florida,20,Democratic,60.6,277560,Gary Stein
Florida,21,Democratic,27.6,335861,Paul Spain
Florida,22,Democratic,17.9,337850,Andrea Leigh McGee
Florida,23,Democratic,16.2,323120,Joe Kaufman
Florida,24,Democratic,100,N/A,Unopposed
