PRECINCT	DEM	REP	TOTAL
56	138	706	844
54	157	1037	1194
42	194	1358	1552
22	146	442	588
50	420	1893	2313
60	965	1811	2776
82	414	1380	1794
62	621	257	878
64	709	211	920
66	427	589	1016
68	571	781	1352
52	664	2245	2909
84	867	2506	3373
80a	656	2859	3515
24	253	625	878
26	222	475	697
06	395	1386	1781
04	974	2970	3944
46	407	1350	1757
08	218	523	741
48	379	1328	1707
28	499	1144	1643
40	671	666	1337
86a	807	1425	2232
78	466	1681	2147
76	389	1803	2192
38	519	118	637
72	340	1550	1890
70	326	1280	1606
20	380	1458	1838
58	514	1534	2048
10	456	1202	1658
12	105	426	531
14	190	1084	1274
16	393	1740	2133
18	263	1066	1329
30	939	209	1148
36	462	303	765
34	561	498	1059
74	512	2087	2599
88	431	1284	1715
32	369	311	680
44	729	2077	2806
