PRECINCT	DEM	REP	TOTAL
22	685	1488	2173
29	469.0	1223.0	1692.0
02	344	1176	1520
03	410	1112	1522
26	511	800	1311
01	439	1831	2270
06	457	1145	1602
07	765	1139	1904
04	228	246	474
05	690	1434	2124
23	849	1999	2848
08	537	1240	1777
09	311	1321	1632
28	682	1315	1997
40	438	592	1030
41	555	1707	2262
24	713	2064	2777
25	512	699	1211
13	563	353	916
27	639	1837	2476
20	604	1503	2107
21	281	908	1189
11	322	362	684
10	208	121	329
39	456	1262	1718
38	718	1397	2115
15	428	26	454
14	442	637	1079
17	446	539	985
16	678	856	1534
19	279	438	717
32	793	1110	1903
31	772	2241	3013
30	987	1465	2452
37	667	914	1581
36	598	1014	1612
35	523	859	1382
34	893	2410	3303
33	1099	2975	4074
12	722	205	927
