PRECINCT	DEM	REP	TOTAL
woel	742.0	292.0	1034.0
cori	798.0	700.0	1498.0
bere	550.0	557.0	1107.0
salm	688	588	1276
okhl	465	399	864
btnr	1181	767	1948
wilt	1313	2293	3606
eaox	1025	395	1420
anti	622	225	847
tyho	1026	1671	2697
crdm	1740	1512	3252
crdl	954	373	1327
sass	641	645	1286
soox	887	166	1053
mten	1364	1676	3040
