State,County,District,DemVotes,RepVotes,OtherVotes
arkansas,Lafayette,4,714,1349,39
arkansas,Calhoun,4,478,1259,28
arkansas,Newton,4,453,1181,40
arkansas,Benton,3,23293,50980,2124
arkansas,Washington,3,29630,34268,1598
arkansas,Sebastian,3,8452,19782,870
arkansas,Pope,3,3869,13675,384
arkansas,Crawford,3,2354,9349,306
arkansas,Boone,3,2236,9130,233
arkansas,Carroll,3,3090,5650,188
arkansas,Marion,3,1073,3914,117
arkansas,Newton,3,222,1135,19
arkansas,Searcy,3,20,149,4
arkansas,Pulaski,2,79901,52361,2287
arkansas,Saline,2,12311,28274,951
arkansas,Faulkner,2,13647,23613,1093
arkansas,White,2,4807,16529,493
arkansas,Conway,2,2443,3907,111
arkansas,Van Buren,2,1595,4518,153
arkansas,Perry,2,1046,2566,88
california,Alameda,13,171568,0,22711
california,San Francisco,13,0,0,0
california,Santa Clara,17,92045,31043,0
california,Alameda,17,23945,8584,0
california,Alameda,15,105612,40442,0
california,Contra Costa,15,13842,6613,0
california,Placer,4,44902,52016,0
california,El Dorado,4,36986,43454,0
california,Calaveras,4,8653,12023,0
california,Tuolumne,4,9157,11333,0
california,Amador,4,6960,9941,0
california,Madera,4,3971,7483,0
california,Mariposa,4,2805,3917,0
california,Fresno,4,1313,3947,0
california,Nevada,4,2916,1049,0
california,Alpine,4,394,193,0
california,Butte,1,37256,33817,0
california,Shasta,1,17531,33298,0
california,Nevada,1,11782,10929,0
california,Tehama,1,6329,12716,0
california,Placer,1,5998,8938,0
california,Siskiyou,1,6009,7433,0
california,Lassen,1,2423,6458,0
california,Plumas,1,3517,4721,0
california,Modoc,1,984,2297,0
california,Sierra,1,703,951,0
california,Glenn,1,115,455,0
california,Solano,3,53489,36092,0
california,Yolo,3,24040,9724,0
california,Sutter,3,7025,9170,0
california,Yuba,3,4484,6473,0
california,Lake,3,3242,2620,0
california,Sacramento,3,2569,3089,0
california,Glenn,3,2096,3312,0
california,Colusa,3,1992,2838,0
california,Contra Costa,11,141772,52007,0
california,Sonoma,5,55398,0,13754
california,Solano,5,38102,0,9976
california,Napa,5,18936,0,6397
california,Contra Costa,5,18109,0,5249
california,Lake,5,4722,0,2299
california,San Joaquin,9,36458,32631,0
california,Contra Costa,9,27094,18519,0
california,Sacramento,9,1727,2515,0
california,Marin,2,60298,13515,0
