Precinct,Tract,Area
06N,37001020802,0.0015922352046600873
06N,37001020300,0.3240372436429264
06N,37001021000,0.6734662851899386
1210,37001020801,0.3952585216861287
1210,37001020702,0.6047414700926512
06E,37001021101,0.7299130278402222
06E,37001020901,0.22609402302837012
06E,37001021000,0.043962100520319757
063,37001020300,0.9999999955231779
12N,37001020100,0.03332814936979943
12N,37001020200,0.05825089649669994
12N,37001020300,0.3678415669431663
12N,37001020502,0.025415296904709405
12N,37001020400,0.5151640902856259
125,37001020702,0.2935353619145004
125,37001020701,0.7064646335492841
11,37001021300,0.975891139809906
11,37001021201,0.0029443339353856612
11,37001021400,0.014601280423858182
11,37033930600,0.004865917178498065
11,37135010801,0.0015563889456632599
10S,37001021205,0.5236755518848866
10S,37001021206,0.4759269024900376
064,37001020902,0.614755608553916
064,37001020901,0.3852443082164666
128,37001020702,0.15660888216955995
128,37001020100,0.4379539261036545
128,37001020802,0.40543718332560413
07,37019020306,0.15638747270086242
07,37019020204,0.10159411513259363
07,37019020202,0.4222458197117379
07,37019020307,0.24778601202191516
07,37019990100,0.07115290554895472
20,37019020403,0.13052220119729213
20,37019020402,0.14968086690116636
20,37019990100,0.7196073251532268
17,37019020601,0.05830619815318396
17,37019020505,0.7755844063095109
17,37019020507,0.08287450214906215
17,37019020504,0.08230428114338918
01,37019020101,0.3235293638012199
01,37019020602,0.5943616847761346
01,37019020102,0.08126673872600382
11,37019020601,0.2828596022291576
11,37019020602,0.5203853721465428
11,37019020603,0.09324727989576861
11,37019020404,0.028801381658817182
11,37019020405,0.0746023484064637
13,37019020601,0.6671184379054794
13,37019020404,0.1386579995359568
13,37019020403,0.19387814102182258
05,37019020602,0.7494974443399377
05,37019020203,0.1617484335828726
05,37019020103,0.0873448517803473
19,37019020507,0.7656935434924403
19,37019020508,0.034484104037937974
19,37019020509,0.1998223517951952
16,37019020510,0.02787762177580267
16,37019020512,0.15467164846270276
16,37019990100,0.3214323497884462
16,37019020508,0.25071042935118487
16,37019020509,0.24530759737291372
14,37019020511,0.31865468006440195
14,37019020506,0.6808162998865294
15,37019020505,0.03202140741246494
15,37019020510,0.03216061920783767
15,37019020512,0.08304869529322967
15,37019020511,0.0254586801052178
15,37019020506,0.15175735245914382
15,37019020402,0.002429565218061528
15,37019990100,0.4550555719699038
15,37019020508,0.13006738938955884
15,37019020509,0.08800063547805681
02,37019020101,0.5111284929679635
02,37019020102,0.3308444609333048
02,37019020103,0.051953925024310586
02,37019020104,0.10539549915357665
21,37019020204,0.7632462927002244
21,37019020203,0.0878196115372607
21,37019020202,0.1489340957625117
08,37019020305,0.5036386472809353
08,37019020304,0.4963603253930856
03,37129011500,0.02486531287700562
03,37019020101,0.08175457536687596
03,37019020104,0.8894423948270381
03,37019020202,0.0033137838941285323
18,37047931300,0.0011949192015578722
