Precinct,Tract,Area
06N,37001020802,0.0015922352065356493
06N,37001020300,0.3240372436383289
06N,37001021000,0.6734662851911656
1210,37001020801,0.3952585216870698
1210,37001020702,0.6047414700947524
06E,37001021101,0.7299130278398327
06E,37001020901,0.22609402303058174
06E,37001021000,0.043962100518628644
063,37001020300,0.9999999955244048
12N,37001020100,0.03332814937079271
12N,37001020200,0.058250896498896615
12N,37001020300,0.36784156693846887
12N,37001020502,0.025415296905503502
12N,37001020400,0.5151640902863374
125,37001020702,0.29353536191011853
125,37001020701,0.7064646335556664
11,37001021300,0.9758911398113521
11,37001021201,0.002944333935527143
11,37001021400,0.014601280424103927
11,37033930600,0.004865917177756226
11,37135010801,0.0015563889447632617
10S,37001021205,0.5236755518848124
10S,37001021206,0.47592690249047737
064,37001020902,0.614755608554253
064,37001020901,0.3852443082154127
128,37001020702,0.15660888217631028
128,37001020100,0.4379539261010099
128,37001020802,0.40543718332124956
07,37019020306,0.15638747270096479
07,37019020204,0.10159411513290664
07,37019020202,0.42224581971155145
07,37019020307,0.24778601202186915
07,37019990100,0.07115290554888425
20,37019020403,0.13052220119717944
20,37019020402,0.14968086690046545
20,37019990100,0.7196073251537594
17,37019020601,0.058306198152739276
17,37019020505,0.7755844063089654
17,37019020507,0.08287450214932347
17,37019020504,0.08230428114339408
01,37019020101,0.3235293638008267
01,37019020602,0.5943616847773541
01,37019020102,0.08126673872544216
11,37019020601,0.2828596022298284
11,37019020602,0.5203853721458
11,37019020603,0.09324727989571799
11,37019020404,0.02880138165917049
11,37019020405,0.07460234840629225
13,37019020601,0.6671184379052789
13,37019020404,0.13865799953529176
13,37019020403,0.19387814102205833
05,37019020602,0.749497389641687
05,37019020203,0.16174842177832777
05,37019020103,0.08734491838605112
19,37019020507,0.765693543493058
19,37019020508,0.0344841040361039
19,37019020509,0.19982235179584182
16,37019020510,0.0278776217756569
16,37019020512,0.15467164846264894
16,37019990100,0.32143234978837576
16,37019020508,0.25071042935085
16,37019020509,0.24530759737291766
14,37019020511,0.31865468006566683
14,37019020506,0.6808162998861007
15,37019020505,0.032021407412558
15,37019020510,0.03216061920794459
15,37019020512,0.0830486952934074
15,37019020511,0.025458680104858765
15,37019020506,0.15175735245862404
15,37019020402,0.0024295652180435817
15,37019990100,0.45505557197014523
15,37019020508,0.13006738938967535
15,37019020509,0.08800063547829685
02,37019020101,0.511128492988066
02,37019020102,0.3308444609476566
02,37019020103,0.05195392498611356
02,37019020104,0.10539549915801937
21,37019020204,0.7632462927019856
21,37019020203,0.08781961153696108
21,37019020202,0.14893409576105418
08,37019020305,0.5036386472811238
08,37019020304,0.4963603253949729
03,37129011500,0.024865312875108795
03,37019020101,0.08175457536568403
03,37019020104,0.8894423948277443
03,37019020202,0.0033137838958981216
18,37047931300,0.001194919201615764
18,37019020601,0.6841612530113096
18,37019020602,0.10851117679471954
18,37019020505,0.20594043131067208
12,37019020404,0.47425568895601977
12,37019020405,0.3714976257266049
12,37019020402,0.1542340553743474
06,37019020602,0.26975650948364077
06,37019020603,0.1784160371961183
06,37019020204,0.4322518485494365
06,37019020203,0.11957560477081802
09,37019020305,0.003868024332966545
09,37019020307,0.09835310232164131
09,37019020310,0.8974439995069257
RVRD,37013930501,0.9999780098682234
AUROR,37013930800,0.9992171209819892
NCRK,37013930700,0.95152784112827
NCRK,37013930100,0.04846531789931992
C1,37015960100,0.9989852496436531
MH,37015960400,0.983245068029177
MH,37015960100,0.01599924628952105
W2,37015960400,0.5592055018850934
W2,37015960100,0.4407944965262532
W1,37117970100,0.0011491739282556254
W1,37015960400,0.9600738249519878
W1,37015960100,0.02068411841490142
W1,37015960200,0.005618429310503833
W1,37015960300,0.011941552351195435
M2,37015960200,0.9990738100689621
M1,37015960100,0.16263654822735085
M1,37015960200,0.8363977943988831
01,37005950100,0.9972977554338622
01,37193960200,0.0019049824989269693
SN,37015960200,0.8844721902351602
SN,37015960300,0.11552780901880004
04,37005950100,0.9822642296476739
04,37171930801,0.015950778993011106
06A,37009970800,0.0014845081071382115
06A,37005950300,0.9970921059909927
WH,37015960400,0.005492797334473016
WH,37015960100,0.9941731983953866
03A,37005950100,0.16729284976475964
03A,37005950300,0.41489999055332283
03A,37193960400,0.003002395173113048
03A,37005950200,0.4146704578361437
WD,37117970400,0.001892564252857017
WD,37015960200,0.00598375457269015
WD,37015960300,0.9921226721740275
RX,37015960200,0.08069138199178291
RX,37015960300,0.9180759394130024
IW,37015960300,0.999423794892162
12,37011930301,0.20176526308453924
12,37011930302,0.7982347369154594
01,37011930301,0.012067103333507103
01,37011930400,0.981419370561756
01,37011930200,0.0037079632964983323
01,37023020201,0.001634868097702864
03,37011930100,0.9985571739516446
02,37011930100,0.6626331258323007
02,37011930301,0.17329793483580003
02,37011930200,0.16356988407165948
05,37011930301,0.6676752390843858
05,37011930302,0.3323247609156173
09,37011930301,0.5183265102656361
09,37011930302,0.46821872986042673
09,37011930400,0.013454759873979798
18,37011930302,0.3631358070982514
18,37011930400,0.6368454027662567
19,37011930302,0.9991768334476551
10,37011930400,0.9994135280771346
04,37011930200,0.9989795836110266
17,37011930302,0.39988927250436235
17,37011930400,0.5998764568320096
B1,37003040700,0.716672031776515
B1,37003040300,0.28318152882208086
B2,37003040700,0.6766701627513859
B2,37003040600,0.01176384386772051
B2,37003040300,0.31156599243788125
E,37003040300,0.4639027326881408
E,37003040400,0.038392217600140326
E,37003040200,0.49720869535663553
G1G2,37003040100,0.9868752102331302
G1G2,37003040200,0.011232729427254607
LRSL,37003040100,0.13022292795990037
LRSL,37003040200,0.8688790293050596
M,37003040500,0.9999999965970662
S1S2,37003040500,0.6467651706608888
S1S2,37003040100,0.35311605020402465
T1T4T5,37003040600,0.6582626410529462
T1T4T5,37003040400,0.34173703884263296
PEAC,37007920300,0.9983939689944218
PEAC,37179020800,0.0014512475146114775
WS,37007920300,0.11382458186523357
WS,37007920600,0.885780090622691
LILE,37007920400,0.008182527079560638
LILE,37007920200,0.02032633861455829
LILE,37007920600,0.04862580495780358
LILE,37007920100,0.9217432996503694
W1,37007920300,0.08407531000201576
W1,37007920500,0.004727140464584512
W1,37007920400,0.8521658023112418
W1,37007920200,0.057093423242428595
W1,37007920100,0.0019383239797278898
W2,37007920300,0.10264549748211199
W2,37007920500,0.7645831190908144
W2,37007920600,0.13276203536964945
W3,37007920500,0.7539637815444418
W3,37007920600,0.24603439820043976
MM,37007920600,0.9994386412974446
BURN,37007920300,0.9971958852447296
BURN,37179020100,0.0025835335322739145
ANS,37007920400,0.043242601075425616
ANS,37007920200,0.9559973731531607
GULL,37007920600,0.9997882682547764
POLK,37007920300,0.999999843309528
09S,37001022002,0.722423166468443
09S,37001022001,0.2743914290307885
09S,37135011203,0.0030702213278913106
12S,37001020802,0.8612802356110348
12S,37001020200,0.1387197610214037
09N,37001022001,0.5826010267139761
09N,37001021204,0.4164577257704555
C2,37015960100,0.9248772484987289
C2,37015960200,0.07506455470351389
06,37011930100,0.2040285106681714
06,37011930301,0.015261444180884114
06,37011930302,0.7801415178411605
08,37011930100,0.36870355721644693
08,37011930301,0.6059718277179976
08,37011930302,0.025324615065549342
14,37011930301,1.0
